29.6,1.7826,273.66,0.11155,0.3218,2.5966e+06
30.7,1.7826,273.12,0.11085,0.3218,2.1662e+07
29.4,1.7826,272.56,0.11436,0.3218,4.625e+06
29.4,1.7826,271.08,0.11992,0.3218,2.0377e+06
29,1.7826,270.41,0.11929,0.3218,4.1384e+05
28.1,2.5282,274.24,0.11768,-0.82,1.5049e+06
28.6,2.5282,273.86,0.11992,-0.82,1.44e+07
28.1,2.5282,270.7,0.12509,-0.82,2.3664e+06
26.8,2.5282,271.49,0.14501,-0.82,1.6756e+05
26.8,2.5282,268.21,0.16865,-0.82,1.387e+05
26.5,2.5282,270.59,0.17963,-0.82,24290
26.1,2.5282,272.21,0.17902,-0.82,1.9798e+06
26,2.5282,271.21,0.1834,-0.82,2.6236e+05
25.1,2.5282,270.66,0.18238,-0.82,85
24.8,2.5282,271.08,0.18168,-0.82,2.1712e+05
24.4,2.5282,271.56,0.18171,-0.82,4.0357e+05
23.8,2.5282,265.54,0.1783,-0.82,1.4991e+05
24.8,2.5282,272.27,0.1955,-0.82,4869
25.2,2.5282,273.6,0.19885,-0.82,8.0436e+05
25.3,2.5282,275.02,0.2003,-0.82,1.155e+06
24.2,2.5282,273.33,0.18706,-0.82,2.4785e+05
23,2.5282,270.09,0.22158,-0.82,333
22.6,2.5282,275.45,0.21007,-0.82,4.2924e+06
24,2.5282,272.94,0.19937,-0.82,1.2541e+07
24.1,2.5282,269.53,0.19474,-0.82,2.5806e+06
23.9,2.5282,270.38,0.17736,-0.82,54836
23.8,2.5282,273.99,0.16324,-0.82,5.4086e+06
23.4,2.5282,271.94,0.161,-0.82,5.7952e+05
23.5,3.5702,271.55,0.15922,-1.5264,6.6797e+05
25,3.5702,270.36,0.15922,-1.5264,8.042e+05
26,3.5702,272.24,0.16357,-1.5264,7114
26.5,3.5702,269.84,0.12799,-1.5264,2.208e+06
25.4,3.5702,267.52,0.091415,-1.5264,1.3881e+05
24,3.5702,272.82,0.091415,-1.5264,21312
22.8,3.5702,279.05,0.09997,-1.5264,2.2434e+07
22.1,3.5702,279.22,0.097884,-1.5264,8.7427e+07
21.8,3.5702,273.4,0.084311,-1.5264,1.7113e+07
21.4,3.5702,274.71,0.071554,-1.5264,4.5635e+06
21.3,3.5702,279.37,0.066112,-1.5264,9.6838e+06
22.1,3.5702,283.82,0.075877,-1.5264,1.8009e+07
22.5,3.5702,283.49,0.075726,-1.5264,3.2701e+07
21.5,3.5702,279.65,0.054414,-1.5264,1.288e+07
22.1,3.5702,278.39,0.05786,-1.5264,7.8656e+06
23.5,3.5702,284.3,0.056076,-1.5264,1.3128e+07
23.5,3.5702,287.41,0.054927,-1.5264,2.7484e+07
23.3,3.5702,288.12,0.039994,-1.5264,2.1128e+07
23.8,3.5702,288.73,0.019438,-1.5264,9.5924e+06
25.2,3.5702,282,0,-1.5264,3.0174e+05
26.9,3.5702,275.79,0.074577,-1.5264,21665
26.9,4.7526,276.88,0.074577,-1.4625,2.2097e+06
24.1,4.7526,278.66,0.14108,-1.4625,5.4808e+05
22.1,4.7526,275.62,0.21632,-1.4625,1.4273e+05
20.9,4.7526,278.69,0.23123,-1.4625,1.8441e+05
20.5,4.7526,280.43,0.22875,-1.4625,2.2788e+06
20.4,4.7526,280.49,0.23579,-1.4625,1.5256e+06
26.2,4.7526,280.77,0.14562,-1.4625,49200
28.6,4.7526,280.92,0.18476,-1.4625,58803
30,4.7526,277.34,0.23177,-1.4625,7.2779e+05
29.7,4.7526,279.32,0.2493,-1.4625,5.7356e+05
30.1,5.2789,279.69,0.29223,-1.1294,1.5758e+06
29.1,5.2789,283.62,0.33782,-1.1294,69637
27.8,5.2789,284.95,0.38292,-1.1294,14340
25.5,5.2789,287.71,0.43431,-1.1294,530
24.4,5.2789,286.45,0.42633,-1.1294,0
23.2,5.2789,286.37,0.42328,-1.1294,0
24.2,5.2789,288.4,0.43507,-1.1294,0
23.6,5.2789,286.64,0.44979,-1.1294,0
24.3,5.2789,283.24,0.46115,-1.1294,0
26.7,5.2789,287.73,0.46917,-1.1294,11
28.4,5.2789,290.99,0.47325,-1.1294,0
27.5,5.2789,288.38,0.46134,-1.1294,0
26.6,5.2789,285.25,0.46515,-1.1294,0
27,5.2789,288.01,0.46016,-1.1294,0
26.3,5.2789,290.37,0.46454,-1.1294,0
26.8,5.2789,290.5,0.50686,-1.1294,0
26.7,5.2789,292.97,0.49477,-1.1294,0
25.2,5.2789,292.67,0.50686,-1.1294,0
24.5,5.2789,291.88,0.46545,-1.1294,0
24.2,5.2789,294.57,0.46252,-1.1294,0
23.2,5.2789,291.94,0.47186,-1.1294,0
22.7,5.2789,293.6,0.50589,-1.1294,0
22.4,5.2789,295.21,0.49791,-1.1294,0
23.1,5.2789,294.8,0.49187,-1.1294,0
22.9,5.2789,291.33,0.48147,-1.1294,0
21.8,5.5269,287.88,0.4627,-1.4963,0
23.6,5.5269,285.95,0.47059,-1.4963,0
28.4,5.5269,287.75,0.47019,-1.4963,0
30,5.5269,284.05,0.4607,-1.4963,0
34,5.5269,287.13,0.47092,-1.4963,0
31.2,5.5269,288.39,0.47563,-1.4963,0
30.6,5.5269,289.64,0.46965,-1.4963,0
29.4,5.5269,290.58,0.47025,-1.4963,0
28.3,5.5269,290.86,0.47189,-1.4963,0
28.2,5.5269,291.31,0.47246,-1.4963,0
28.7,5.5269,292.31,0.4795,-1.4963,0
28.7,5.5269,291.06,0.47361,-1.4963,0
27,5.5269,289.63,0.47802,-1.4963,0
25.3,5.5269,290.04,0.47966,-1.4963,0
